worker_id,age,gender,education_level,experience_years,job_role,skill_score,daily_wage,work_hours,site_type,city_tier,safety_training,accident_history,attendance_rate,contractor_rating,project_deadline_days,weather_condition,productivity_score
1,36,Male,None,2,Supervisor,53,1297,6,Residential,Tier2,No,2,0.61,3.8,110,Extreme,27.0
2,23,Male,HighSchool,0,Mason,85,1312,7,Infrastructure,Tier1,Yes,2,0.79,4.4,64,Extreme,46.8
3,20,Male,Degree,16,Engineer,68,444,7,Commercial,Tier2,No,3,0.75,3.1,71,Extreme,41.0
4,46,Female,Degree,4,Engineer,71,1331,6,Commercial,Tier2,Yes,1,0.61,4.5,104,Rainy,39.8
5,45,Male,Diploma,4,Supervisor,95,1269,10,Infrastructure,Tier2,Yes,2,0.82,2.9,110,Rainy,48.6
6,30,Male,None,7,Electrician,82,424,8,Infrastructure,Tier1,Yes,2,0.81,3.2,63,Rainy,48.1
7,28,Female,Degree,14,Electrician,43,1065,6,Commercial,Tier3,No,2,0.69,3.3,13,Rainy,23.2
8,55,Male,Diploma,0,Mason,65,674,10,Infrastructure,Tier3,No,2,0.82,3.8,96,Normal,31.4
9,29,Male,None,17,Engineer,51,938,9,Commercial,Tier1,No,1,0.69,5.0,78,Rainy,42.3
10,36,Female,Degree,7,Supervisor,82,649,8,Infrastructure,Tier3,No,2,0.91,3.0,42,Rainy,41.1
11,25,Female,Diploma,9,Engineer,60,510,9,Infrastructure,Tier2,Yes,1,0.81,3.2,113,Extreme,33.9
12,34,Male,HighSchool,17,Mason,53,642,7,Infrastructure,Tier1,No,1,0.71,4.6,20,Normal,43.5
13,25,Female,None,1,Supervisor,46,519,7,Commercial,Tier1,Yes,0,0.95,4.2,78,Normal,38.7
14,25,Male,HighSchool,19,Engineer,87,746,10,Residential,Tier2,No,2,0.91,4.7,109,Rainy,51.7
15,36,Male,Diploma,15,Mason,41,1448,10,Infrastructure,Tier2,Yes,2,0.91,2.7,12,Extreme,32.1
16,36,Male,Diploma,11,Mason,95,1379,6,Infrastructure,Tier1,Yes,3,0.89,2.8,12,Normal,50.1
17,58,Male,Degree,9,Supervisor,80,595,9,Commercial,Tier1,Yes,0,0.82,4.8,78,Rainy,67.1
18,34,Male,Diploma,20,Engineer,57,1448,7,Residential,Tier1,No,0,0.9,2.6,113,Extreme,55.8
19,52,Male,None,15,Mason,62,1349,6,Commercial,Tier2,No,0,0.95,4.3,28,Normal,53.3
20,45,Female,HighSchool,6,Engineer,48,1249,8,Infrastructure,Tier2,Yes,0,0.97,4.8,10,Extreme,37.4
21,47,Male,Degree,9,Supervisor,42,963,7,Commercial,Tier2,Yes,3,0.78,2.6,43,Normal,29.1
22,46,Male,None,13,Mason,54,568,10,Residential,Tier3,No,2,0.82,2.8,42,Rainy,30.9
23,43,Male,Degree,17,Supervisor,85,475,6,Infrastructure,Tier2,Yes,3,0.61,3.4,35,Normal,45.3
24,46,Female,Diploma,10,Supervisor,86,1161,10,Infrastructure,Tier2,No,3,0.81,4.6,77,Rainy,32.6
25,43,Male,Diploma,20,Mason,78,594,9,Residential,Tier2,No,3,0.97,4.5,25,Extreme,43.6
26,26,Male,Diploma,11,Engineer,84,895,6,Infrastructure,Tier2,Yes,0,0.8,3.0,105,Normal,57.9
27,35,Female,Diploma,3,Engineer,63,1144,8,Infrastructure,Tier1,No,3,0.86,5.0,117,Extreme,26.3
28,52,Female,Diploma,6,Mason,90,870,9,Infrastructure,Tier1,No,1,0.85,2.7,75,Normal,49.8
29,40,Female,HighSchool,16,Electrician,71,915,8,Residential,Tier1,Yes,3,0.82,3.6,45,Rainy,32.6
30,43,Male,Degree,9,Supervisor,63,580,7,Commercial,Tier2,No,2,0.71,3.7,94,Rainy,42.1
31,31,Male,Degree,12,Supervisor,85,1443,9,Commercial,Tier3,Yes,3,0.99,4.9,12,Normal,47.4
32,39,Male,None,6,Supervisor,49,406,7,Commercial,Tier3,No,2,0.74,4.7,41,Normal,25.2
33,55,Male,HighSchool,6,Supervisor,40,928,7,Infrastructure,Tier2,No,0,0.8,4.4,82,Normal,38.8
34,58,Female,HighSchool,19,Supervisor,69,1247,9,Residential,Tier3,Yes,1,0.96,3.4,27,Normal,39.5
35,55,Male,Diploma,14,Electrician,44,1328,8,Infrastructure,Tier2,No,1,0.67,4.9,48,Extreme,34.2
36,38,Female,Degree,0,Supervisor,60,1398,6,Infrastructure,Tier1,Yes,0,0.81,3.7,52,Normal,48.2
37,43,Male,Degree,1,Mason,70,489,10,Residential,Tier3,No,1,0.79,3.4,45,Extreme,46.1
38,57,Female,None,16,Supervisor,74,1366,9,Residential,Tier2,No,2,0.91,3.3,61,Normal,37.6
39,19,Female,HighSchool,12,Mason,70,1240,9,Residential,Tier3,Yes,0,0.91,4.9,30,Normal,42.8
40,28,Male,Degree,20,Supervisor,61,645,7,Infrastructure,Tier2,No,0,0.72,4.1,36,Normal,56.8
41,37,Female,HighSchool,2,Engineer,86,529,10,Infrastructure,Tier2,Yes,2,0.71,3.2,112,Rainy,34.2
42,24,Female,None,16,Supervisor,88,783,10,Infrastructure,Tier1,No,2,0.68,4.7,108,Normal,42.6
43,31,Female,HighSchool,5,Supervisor,41,1476,9,Commercial,Tier1,No,0,0.67,4.2,79,Rainy,32.3
44,59,Female,Diploma,6,Electrician,85,1160,9,Commercial,Tier1,No,0,0.87,4.2,120,Normal,54.2
45,18,Female,Diploma,6,Mason,75,1466,10,Residential,Tier3,No,3,0.89,3.1,88,Normal,24.6
46,22,Female,Degree,3,Supervisor,41,892,8,Commercial,Tier1,No,2,0.6,3.5,86,Normal,25.3
47,30,Male,Diploma,14,Engineer,56,1259,8,Residential,Tier3,No,2,0.85,3.7,110,Rainy,32.6
48,18,Female,Degree,15,Supervisor,69,1340,7,Commercial,Tier1,Yes,1,0.96,4.4,15,Normal,53.3
49,41,Female,HighSchool,16,Mason,67,1178,6,Commercial,Tier1,No,0,0.83,2.6,97,Extreme,49.2
50,23,Female,None,16,Mason,41,1326,9,Infrastructure,Tier3,Yes,0,0.79,3.4,77,Extreme,30.0
51,23,Female,HighSchool,9,Electrician,77,1030,10,Infrastructure,Tier1,Yes,0,0.92,2.7,48,Normal,52.9
52,60,Male,None,14,Supervisor,42,1486,7,Residential,Tier3,Yes,3,0.95,4.8,38,Normal,23.0
53,23,Female,HighSchool,8,Supervisor,52,1413,9,Commercial,Tier2,Yes,3,0.85,2.6,118,Normal,19.2
