worker_id,age,gender,education_level,experience_years,job_role,skill_score,daily_wage,work_hours,site_type,city_tier,safety_training,accident_history,attendance_rate,contractor_rating,project_deadline_days,weather_condition,productivity_score
1,36,Male,,2,Supervisor,1,1297,6,Residential,Tier2,No,2,0.61,3.8,110,Extreme,27.0
2,23,Male,HighSchool,0,Mason,1,1312,7,Infrastructure,Tier1,Yes,2,0.79,4.4,64,Extreme,46.8
3,20,Male,Degree,16,Engineer,0,444,7,Commercial,Tier2,No,3,0.75,3.1,71,Extreme,41.0
4,46,Female,Degree,4,Engineer,0,1331,6,Commercial,Tier2,Yes,1,0.61,4.5,104,Rainy,39.8
5,45,Male,Diploma,4,Supervisor,0,1269,10,Infrastructure,Tier2,Yes,2,0.82,2.9,110,Rainy,48.6
6,30,Male,,7,Electrician,1,424,8,Infrastructure,Tier1,Yes,2,0.81,3.2,63,Rainy,48.1
7,28,Female,Degree,14,Electrician,1,1065,6,Commercial,Tier3,No,2,0.69,3.3,13,Rainy,23.2
8,55,Male,Diploma,0,Mason,0,674,10,Infrastructure,Tier3,No,2,0.82,3.8,96,Normal,31.4
9,29,Male,,17,Engineer,1,938,9,Commercial,Tier1,No,1,0.69,5.0,78,Rainy,42.3
10,36,Female,Degree,7,Supervisor,1,649,8,Infrastructure,Tier3,No,2,0.91,3.0,42,Rainy,41.1
11,25,Female,Diploma,9,Engineer,1,510,9,Infrastructure,Tier2,Yes,1,0.81,3.2,113,Extreme,33.9
12,34,Male,HighSchool,17,Mason,1,642,7,Infrastructure,Tier1,No,1,0.71,4.6,20,Normal,43.5
13,25,Female,,1,Supervisor,1,519,7,Commercial,Tier1,Yes,0,0.95,4.2,78,Normal,38.7
14,25,Male,HighSchool,19,Engineer,1,746,10,Residential,Tier2,No,2,0.91,4.7,109,Rainy,51.7
15,36,Male,Diploma,15,Mason,1,1448,10,Infrastructure,Tier2,Yes,2,0.91,2.7,12,Extreme,32.1
16,36,Male,Diploma,11,Mason,1,1379,6,Infrastructure,Tier1,Yes,3,0.89,2.8,12,Normal,50.1
17,58,Male,Degree,9,Supervisor,1,595,9,Commercial,Tier1,Yes,0,0.82,4.8,78,Rainy,67.1
18,34,Male,Diploma,20,Engineer,1,1448,7,Residential,Tier1,No,0,0.9,2.6,113,Extreme,55.8
19,52,Male,,15,Mason,0,1349,6,Commercial,Tier2,No,0,0.95,4.3,28,Normal,53.3
20,45,Female,HighSchool,6,Engineer,1,1249,8,Infrastructure,Tier2,Yes,0,0.97,4.8,10,Extreme,37.4
21,47,Male,Degree,9,Supervisor,1,963,7,Commercial,Tier2,Yes,3,0.78,2.6,43,Normal,29.1
22,46,Male,,13,Mason,0,568,10,Residential,Tier3,No,2,0.82,2.8,42,Rainy,30.9
23,43,Male,Degree,17,Supervisor,1,475,6,Infrastructure,Tier2,Yes,3,0.61,3.4,35,Normal,45.3
24,46,Female,Diploma,10,Supervisor,0,1161,10,Infrastructure,Tier2,No,3,0.81,4.6,77,Rainy,32.6
25,43,Male,Diploma,20,Mason,1,594,9,Residential,Tier2,No,3,0.97,4.5,25,Extreme,43.6
26,26,Male,Diploma,11,Engineer,0,895,6,Infrastructure,Tier2,Yes,0,0.8,3.0,105,Normal,57.9
27,35,Female,Diploma,3,Engineer,1,1144,8,Infrastructure,Tier1,No,3,0.86,5.0,117,Extreme,26.3
28,52,Female,Diploma,6,Mason,0,870,9,Infrastructure,Tier1,No,1,0.85,2.7,75,Normal,49.8
29,40,Female,HighSchool,16,Electrician,1,915,8,Residential,Tier1,Yes,3,0.82,3.6,45,Rainy,32.6
30,43,Male,Degree,9,Supervisor,0,580,7,Commercial,Tier2,No,2,0.71,3.7,94,Rainy,42.1
31,31,Male,Degree,12,Supervisor,1,1443,9,Commercial,Tier3,Yes,3,0.99,4.9,12,Normal,47.4
32,39,Male,,6,Supervisor,0,406,7,Commercial,Tier3,No,2,0.74,4.7,41,Normal,25.2
33,55,Male,HighSchool,6,Supervisor,0,928,7,Infrastructure,Tier2,No,0,0.8,4.4,82,Normal,38.8
34,58,Female,HighSchool,19,Supervisor,1,1247,9,Residential,Tier3,Yes,1,0.96,3.4,27,Normal,39.5
35,55,Male,Diploma,14,Electrician,0,1328,8,Infrastructure,Tier2,No,1,0.67,4.9,48,Extreme,34.2
36,38,Female,Degree,0,Supervisor,0,1398,6,Infrastructure,Tier1,Yes,0,0.81,3.7,52,Normal,48.2
37,43,Male,Degree,1,Mason,1,489,10,Residential,Tier3,No,1,0.79,3.4,45,Extreme,46.1
38,57,Female,,16,Supervisor,0,1366,9,Residential,Tier2,No,2,0.91,3.3,61,Normal,37.6
39,19,Female,HighSchool,12,Mason,1,1240,9,Residential,Tier3,Yes,0,0.91,4.9,30,Normal,42.8
40,28,Male,Degree,20,Supervisor,0,645,7,Infrastructure,Tier2,No,0,0.72,4.1,36,Normal,56.8
41,37,Female,HighSchool,2,Engineer,0,529,10,Infrastructure,Tier2,Yes,2,0.71,3.2,112,Rainy,34.2
42,24,Female,,16,Supervisor,0,783,10,Infrastructure,Tier1,No,2,0.68,4.7,108,Normal,42.6
43,31,Female,HighSchool,5,Supervisor,1,1476,9,Commercial,Tier1,No,0,0.67,4.2,79,Rainy,32.3
44,59,Female,Diploma,6,Electrician,1,1160,9,Commercial,Tier1,No,0,0.87,4.2,120,Normal,54.2
45,18,Female,Diploma,6,Mason,0,1466,10,Residential,Tier3,No,3,0.89,3.1,88,Normal,24.6
46,22,Female,Degree,3,Supervisor,1,892,8,Commercial,Tier1,No,2,0.6,3.5,86,Normal,25.3
47,30,Male,Diploma,14,Engineer,0,1259,8,Residential,Tier3,No,2,0.85,3.7,110,Rainy,32.6
48,18,Female,Degree,15,Supervisor,1,1340,7,Commercial,Tier1,Yes,1,0.96,4.4,15,Normal,53.3
49,41,Female,HighSchool,16,Mason,0,1178,6,Commercial,Tier1,No,0,0.83,2.6,97,Extreme,49.2
50,23,Female,,16,Mason,0,1326,9,Infrastructure,Tier3,Yes,0,0.79,3.4,77,Extreme,30.0
51,23,Female,HighSchool,9,Electrician,0,1030,10,Infrastructure,Tier1,Yes,0,0.92,2.7,48,Normal,52.9
52,60,Male,,14,Supervisor,1,1486,7,Residential,Tier3,Yes,3,0.95,4.8,38,Normal,23.0
53,23,Female,HighSchool,8,Supervisor,0,1413,9,Commercial,Tier2,Yes,3,0.85,2.6,118,Normal,19.2
54,47,Male,Diploma,11,Engineer,0,1242,6,Residential,Tier3,Yes,1,0.86,4.3,55,Normal,51.9
55,60,Female,,4,Engineer,0,1489,8,Commercial,Tier3,Yes,2,0.68,4.1,88,Extreme,20.6
56,35,Male,Diploma,2,Electrician,0,1411,8,Residential,Tier2,Yes,0,0.85,3.5,90,Normal,57.0
57,59,Male,,9,Electrician,0,854,9,Commercial,Tier1,Yes,1,0.77,2.7,54,Rainy,37.5
58,41,Male,Degree,4,Electrician,1,1333,9,Residential,Tier2,Yes,3,0.88,3.8,20,Rainy,29.2
59,60,Female,Degree,4,Supervisor,1,770,8,Commercial,Tier3,Yes,3,0.66,4.5,43,Normal,23.6
60,51,Female,HighSchool,8,Mason,1,1056,10,Residential,Tier1,No,3,0.87,4.0,111,Rainy,19.6
61,41,Male,Degree,10,Supervisor,1,1354,6,Commercial,Tier3,No,3,0.73,4.0,90,Rainy,25.6
62,42,Male,Diploma,5,Engineer,0,1446,7,Infrastructure,Tier1,No,0,0.81,2.8,32,Normal,63.9
63,29,Female,Degree,19,Electrician,0,1097,9,Residential,Tier3,No,1,0.98,2.6,81,Normal,56.1
64,50,Male,HighSchool,19,Engineer,1,557,6,Commercial,Tier1,No,3,0.64,3.5,112,Normal,29.9
65,21,Male,Degree,0,Mason,1,643,10,Infrastructure,Tier2,Yes,2,0.75,4.4,57,Normal,47.8
66,23,Female,,4,Mason,1,652,8,Residential,Tier2,Yes,1,0.84,2.6,29,Rainy,35.0
67,27,Female,Diploma,20,Mason,0,809,7,Infrastructure,Tier1,No,3,0.64,4.4,69,Extreme,27.8
68,18,Female,HighSchool,16,Engineer,0,1018,10,Residential,Tier1,No,2,0.94,2.9,57,Normal,45.0
69,30,Male,Degree,11,Mason,0,1249,10,Residential,Tier1,No,1,0.66,2.9,28,Normal,45.3
70,42,Female,,16,Engineer,0,1168,6,Commercial,Tier2,No,2,0.69,3.9,94,Normal,39.6
71,37,Male,Degree,10,Electrician,1,1048,7,Infrastructure,Tier1,Yes,2,0.66,3.1,86,Rainy,47.4
72,20,Male,Degree,6,Mason,1,680,10,Residential,Tier2,Yes,2,0.84,4.9,101,Rainy,34.6
73,34,Male,Diploma,19,Supervisor,0,1032,10,Infrastructure,Tier3,No,1,0.75,4.7,102,Extreme,53.3
74,59,Female,HighSchool,1,Supervisor,0,955,6,Commercial,Tier1,Yes,2,0.69,2.9,21,Extreme,25.5
75,19,Female,Diploma,8,Electrician,0,1223,6,Commercial,Tier2,Yes,0,0.63,4.5,38,Normal,31.2
76,50,Female,,14,Mason,0,1480,6,Residential,Tier2,No,3,0.78,4.7,64,Normal,16.0
77,25,Male,Degree,4,Supervisor,0,875,8,Residential,Tier2,No,2,0.99,4.7,33,Normal,47.8
78,18,Female,HighSchool,8,Engineer,1,908,6,Commercial,Tier3,Yes,1,0.78,3.5,99,Rainy,30.2
79,49,Male,,13,Mason,0,995,9,Residential,Tier2,No,1,0.89,3.6,91,Normal,49.1
80,34,Male,,17,Electrician,1,587,8,Residential,Tier2,Yes,0,0.92,3.1,33,Normal,45.3
81,45,Female,Diploma,8,Mason,1,406,8,Commercial,Tier1,Yes,1,0.85,4.9,79,Rainy,36.0
82,44,Female,,18,Engineer,0,1444,7,Infrastructure,Tier3,Yes,1,0.77,5.0,79,Extreme,25.4
83,36,Male,Diploma,15,Mason,0,812,7,Infrastructure,Tier2,No,0,0.76,4.0,53,Extreme,62.3
84,21,Female,Degree,1,Mason,1,1106,7,Residential,Tier1,No,0,0.64,3.6,90,Rainy,38.7
85,48,Female,Degree,0,Engineer,0,1464,10,Residential,Tier2,Yes,2,0.7,4.8,115,Normal,41.2
86,25,Male,Diploma,14,Mason,0,450,9,Commercial,Tier3,Yes,3,0.77,2.8,61,Rainy,32.2
87,28,Male,Diploma,17,Supervisor,0,848,8,Infrastructure,Tier3,Yes,1,0.78,2.5,101,Rainy,49.7
88,51,Male,HighSchool,9,Mason,1,611,9,Commercial,Tier3,Yes,2,0.93,3.7,99,Rainy,31.5
89,54,Male,,1,Supervisor,1,546,6,Residential,Tier3,No,2,0.91,3.8,110,Extreme,31.5
90,60,Female,HighSchool,20,Engineer,0,636,8,Infrastructure,Tier1,No,1,0.99,4.0,80,Rainy,54.8
91,31,Female,HighSchool,8,Engineer,1,1310,10,Commercial,Tier3,Yes,2,0.77,3.9,95,Normal,16.4
92,53,Female,,15,Engineer,0,1029,6,Commercial,Tier1,No,3,0.78,4.1,120,Normal,28.7
93,55,Male,,16,Supervisor,0,1259,6,Infrastructure,Tier2,Yes,3,0.77,3.6,95,Rainy,38.8
94,29,Male,,20,Electrician,1,405,8,Residential,Tier2,No,1,0.61,4.1,78,Extreme,40.0
95,47,Female,Degree,11,Engineer,1,980,8,Residential,Tier1,No,2,0.69,2.6,44,Normal,39.1
96,54,Female,HighSchool,1,Mason,1,1467,8,Infrastructure,Tier1,No,0,0.89,2.7,68,Extreme,37.9
97,24,Male,Degree,20,Electrician,1,870,6,Infrastructure,Tier1,No,1,0.91,3.9,27,Rainy,70.2
98,44,Male,HighSchool,7,Supervisor,0,450,6,Infrastructure,Tier1,Yes,1,0.96,3.8,85,Rainy,45.1
99,43,Male,Degree,14,Engineer,0,1360,8,Residential,Tier2,Yes,2,0.72,3.3,26,Extreme,38.2
100,38,Female,HighSchool,0,Electrician,0,979,6,Infrastructure,Tier2,Yes,3,0.73,3.1,37,Extreme,26.4
101,31,Male,HighSchool,15,Mason,1,1332,10,Commercial,Tier3,Yes,0,0.92,2.8,31,Normal,48.3
102,53,Female,Diploma,12,Electrician,1,912,9,Commercial,Tier1,No,3,0.72,3.0,85,Extreme,27.8
103,59,Female,HighSchool,12,Electrician,0,451,7,Residential,Tier3,No,0,0.9,3.6,24,Rainy,40.6
104,59,Male,Diploma,11,Electrician,0,544,10,Infrastructure,Tier1,No,1,0.79,2.8,11,Normal,52.1
105,42,Male,,12,Electrician,0,1060,8,Residential,Tier3,No,1,0.61,3.3,55,Normal,36.0
106,57,Female,,17,Electrician,1,826,10,Commercial,Tier1,Yes,3,0.68,3.2,17,Rainy,18.1
107,22,Female,Diploma,10,Mason,0,858,6,Residential,Tier1,Yes,3,0.9,3.7,88,Rainy,27.2
108,22,Male,Diploma,7,Engineer,1,1332,10,Infrastructure,Tier2,Yes,2,0.77,3.4,31,Extreme,39.7
109,35,Female,,20,Electrician,0,626,8,Commercial,Tier2,No,3,0.74,3.9,37,Rainy,36.6
110,56,Female,Diploma,4,Mason,1,742,9,Infrastructure,Tier1,Yes,0,0.92,2.5,119,Extreme,44.6
111,55,Male,Diploma,2,Supervisor,0,1471,8,Residential,Tier1,No,3,0.69,3.7,87,Extreme,28.6
112,31,Male,HighSchool,8,Supervisor,1,1479,9,Residential,Tier3,Yes,1,0.61,3.3,66,Rainy,35.2
113,46,Male,,9,Mason,0,1018,10,Residential,Tier1,No,0,0.94,3.5,112,Extreme,64.5
114,54,Male,HighSchool,4,Engineer,0,1108,10,Commercial,Tier2,No,1,0.79,3.8,59,Rainy,45.6
115,42,Male,HighSchool,18,Supervisor,1,454,6,Residential,Tier2,No,2,0.86,2.6,34,Rainy,46.0
116,43,Female,HighSchool,19,Supervisor,1,1107,10,Residential,Tier2,Yes,1,0.85,2.9,28,Extreme,31.3
117,18,Female,,0,Electrician,1,686,9,Commercial,Tier2,No,1,0.99,3.5,71,Rainy,42.8
118,31,Male,,11,Electrician,1,1354,6,Infrastructure,Tier3,No,0,0.77,4.4,33,Rainy,45.7
119,41,Female,,13,Engineer,1,1431,9,Residential,Tier2,Yes,2,0.85,4.3,17,Normal,30.3
120,28,Male,,15,Supervisor,1,1290,10,Infrastructure,Tier2,Yes,1,0.85,3.7,41,Normal,37.3
121,60,Male,HighSchool,14,Engineer,0,1443,7,Infrastructure,Tier3,No,2,0.95,4.4,77,Normal,37.4
122,47,Male,,7,Electrician,1,1357,7,Commercial,Tier1,Yes,2,0.67,4.9,95,Normal,45.7
123,30,Female,,7,Electrician,1,1431,10,Residential,Tier1,No,3,0.81,3.5,19,Rainy,30.5
124,28,Male,Degree,1,Mason,0,1066,6,Infrastructure,Tier2,Yes,2,0.68,4.1,83,Rainy,39.9
125,49,Female,,17,Electrician,0,859,8,Residential,Tier1,Yes,0,0.78,3.5,21,Extreme,47.7
