candidate_id,gender,age_group,v_age,group_identity,education_level,department,job_level,university_tier,zip_group,gender_code,grp_identity,age_group_code,education_code,department_code,job_level_code,university_tier_code,zip_group_code,referral_flag,years_experience,interview_score_pct,num_prev_jobs,gpa,hiring_decision_hired,dataset_category
CAND-00001,Male,20-29,20,Majority_Class,Bachelor,Finance,Lead,Tier2,Urban_High,0.0,0.0,0,2,2,3,1.0,0,0,3,64.4,2,2.59,0,recruitment and hiring data
CAND-00002,Non-Binary,20-29,23,Minority_Class,PhD,Marketing,Junior,Tier3,Urban_Mid,2.0,1.0,0,4,1,0,2.0,1,0,1,69.2,3,2.87,0,recruitment and hiring data
CAND-00003,Female,50-59,52,Minority_Class,Master,HR,Mid,Tier3,Urban_High,1.0,1.0,3,3,3,1,2.0,0,0,20,43.3,1,3.51,0,recruitment and hiring data
CAND-00004,Female,40-49,45,Majority_Class,Bachelor,Sales,Junior,Unranked,Urban_High,1.0,0.0,2,2,4,0,3.0,0,0,14,87.6,5,2.62,0,recruitment and hiring data
CAND-00005,Male,30-39,38,Minority_Class,High School,Legal,Mid,Tier2,Urban_High,0.0,,1,0,6,1,1.0,0,0,11,74.0,2,3.21,0,recruitment and hiring data
CAND-00006,Male,30-39,38,Minority_Class,Bachelor,Finance,Lead,Tier3,Urban_Mid,0.0,,1,2,2,3,2.0,1,0,9,57.8,1,3.09,0,recruitment and hiring data
CAND-00007,Male,30-39,36,Minority_Class,Master,Sales,Lead,Unranked,Suburban,0.0,1.0,1,3,4,3,3.0,2,0,7,52.2,2,3.01,0,recruitment and hiring data
CAND-00008,Female,20-29,28,Majority_Class,Bachelor,Operations,Mid,Tier2,Suburban,1.0,0.0,0,2,5,1,1.0,2,1,1,64.4,4,3.36,1,recruitment and hiring data
CAND-00009,Female,20-29,27,Minority_Class,Master,Sales,Senior,Unranked,Urban_Mid,1.0,1.0,0,3,4,2,3.0,1,0,2,66.7,4,2.6,0,recruitment and hiring data
CAND-00010,Female,20-29,24,Majority_Class,Bachelor,HR,Junior,Tier2,Urban_Mid,1.0,0.0,0,2,3,0,1.0,1,0,0,49.1,2,2.75,0,recruitment and hiring data
CAND-00011,Male,20-29,28,Majority_Class,Bachelor,Sales,Junior,Tier3,Urban_High,0.0,0.0,0,2,4,0,2.0,0,0,10,51.6,3,3.04,0,recruitment and hiring data
CAND-00012,Non-Binary,50-59,56,Majority_Class,Bachelor,Engineering,Lead,Tier3,Urban_High,2.0,0.0,3,2,0,3,2.0,0,1,24,51.8,3,2.56,0,recruitment and hiring data
CAND-00013,Female,20-29,24,Minority_Class,Master,Finance,Junior,Unranked,Suburban,1.0,1.0,0,3,2,0,3.0,2,0,1,61.8,4,3.65,0,recruitment and hiring data
CAND-00014,Male,20-29,27,Minority_Class,Master,HR,Junior,Unranked,Rural,0.0,1.0,0,3,3,0,3.0,3,1,2,65.9,4,2.74,1,recruitment and hiring data
CAND-00015,Male,30-39,36,Minority_Class,Bachelor,Marketing,Mid,Tier2,Urban_High,0.0,1.0,1,2,1,1,1.0,0,0,17,91.0,0,3.45,1,recruitment and hiring data
CAND-00016,Male,50-59,58,Minority_Class,Bachelor,Legal,Mid,Tier3,Urban_Mid,0.0,1.0,3,2,6,1,2.0,1,1,22,39.0,4,,0,recruitment and hiring data
CAND-00017,Male,20-29,29,Majority_Class,Master,HR,Junior,Tier1,Rural,0.0,0.0,0,3,3,0,0.0,3,0,3,56.9,5,3.42,1,recruitment and hiring data
